,Attack,Epsilon,Defence,Accuracy after attack,Score,Block Rate,False Positive Rate
0,apgd,0.031,baard_2stage,0.5,32.1,31.7,12.8
1,apgd,0.031,baard_3stage,0.5,51.5,51.1,17.9
2,apgd,0.031,fs,0.5,49.7,49.7,51.0
3,apgd,0.031,lid,0.5,0.5,0.0,0.0
4,apgd,0.031,rc,0.5,4.6,-100.0,36.199999999999996
5,apgd,0.031,magnet,0.5,24.0,23.5,0.1
6,apgd,0.3,baard_2stage,0.0,91.2,91.2,12.8
7,apgd,0.3,baard_3stage,0.0,92.5,92.5,17.9
8,apgd,0.3,fs,0.0,46.6,46.6,37.6
9,apgd,0.3,lid,0.0,15.6,15.6,1.9
10,apgd,0.3,rc,0.0,6.2,-100.0,36.0
11,apgd,0.3,magnet,0.0,8.0,8.0,0.1
12,apgd,0.6,baard_2stage,0.0,100.0,100.0,12.8
13,apgd,0.6,baard_3stage,0.0,100.0,100.0,17.9
14,apgd,0.6,fs,0.0,29.099999999999998,29.099999999999998,24.5
15,apgd,0.6,lid,0.0,23.7,23.7,1.7999999999999998
16,apgd,0.6,rc,0.0,1.5,-100.0,36.199999999999996
17,apgd,0.6,magnet,0.0,99.3,99.3,0.1
18,apgd,1.0,baard_2stage,0.0,100.0,100.0,12.8
19,apgd,1.0,baard_3stage,0.0,100.0,100.0,17.9
20,apgd,1.0,fs,0.0,8.200000000000001,8.200000000000001,10.100000000000001
21,apgd,1.0,lid,0.0,0.1,0.1,0.1
22,apgd,1.0,rc,0.0,1.3,-100.0,36.3
23,apgd,1.0,magnet,0.0,100.0,100.0,0.1
24,apgd,1.5,baard_2stage,0.0,100.0,100.0,12.8
25,apgd,1.5,baard_3stage,0.0,100.0,100.0,17.9
26,apgd,1.5,fs,0.0,9.9,9.9,21.8
27,apgd,1.5,lid,0.0,10.0,10.0,1.6
28,apgd,1.5,rc,0.0,0.8,-100.0,36.199999999999996
29,apgd,1.5,magnet,0.0,100.0,100.0,0.1
30,apgd1,0.031,baard_2stage,100.0,100.0,13.600000000000001,12.8
31,apgd1,0.031,baard_3stage,100.0,100.0,18.6,17.9
32,apgd1,0.031,fs,100.0,100.0,38.7,40.5
33,apgd1,0.031,lid,100.0,100.0,0.0,0.0
34,apgd1,0.031,rc,100.0,100.0,-100.0,36.199999999999996
35,apgd1,0.031,magnet,100.0,100.0,0.1,0.1
36,apgd1,0.3,baard_2stage,99.1,99.2,13.900000000000002,12.8
37,apgd1,0.3,baard_3stage,99.1,99.2,18.9,17.9
38,apgd1,0.3,fs,99.1,99.6,37.5,38.800000000000004
39,apgd1,0.3,lid,99.1,99.1,0.0,0.0
40,apgd1,0.3,rc,99.1,99.1,-100.0,36.0
41,apgd1,0.3,magnet,99.1,99.1,0.1,0.1
42,apgd1,0.6,baard_2stage,97.5,98.0,13.8,12.8
43,apgd1,0.6,baard_3stage,97.5,98.0,18.5,17.9
44,apgd1,0.6,fs,97.5,98.7,48.3,50.9
45,apgd1,0.6,lid,97.5,97.5,0.0,0.0
46,apgd1,0.6,rc,97.5,97.6,-100.0,35.9
47,apgd1,0.6,magnet,97.5,97.5,0.1,0.1
48,apgd1,1.0,baard_2stage,95.8,96.8,13.900000000000002,12.8
