,Attack,Adv_param,Defence,FPR,Acc_on_adv
0,apgd,0.031,baard_2stage,4.2,9.4
1,apgd,0.031,baard_3stage,6.4,14.499999999999998
2,apgd,0.031,lid,0.0,0.1
3,apgd,0.031,rc,0.3,0.1
4,apgd,0.031,fs,5.2,19.2
5,apgd,0.031,magnet,0.4,30.3
6,apgd,0.3,baard_2stage,4.2,92.9
7,apgd,0.3,baard_3stage,6.4,93.2
8,apgd,0.3,lid,0.2,72.0
9,apgd,0.3,rc,0.3,0.0
10,apgd,0.3,fs,5.2,0.0
11,apgd,0.3,magnet,0.4,100.0
12,apgd,0.6,baard_2stage,4.2,100.0
13,apgd,0.6,baard_3stage,6.4,100.0
14,apgd,0.6,lid,0.0,85.39999999999999
15,apgd,0.6,rc,0.4,0.0
16,apgd,0.6,fs,5.2,0.0
17,apgd,0.6,magnet,0.4,100.0
18,apgd,1.0,baard_2stage,4.2,100.0
19,apgd,1.0,baard_3stage,6.4,100.0
20,apgd,1.0,lid,0.0,95.39999999999999
21,apgd,1.0,rc,0.4,0.0
22,apgd,1.0,fs,5.2,0.0
23,apgd,1.0,magnet,0.4,100.0
24,apgd,1.5,baard_2stage,4.2,100.0
25,apgd,1.5,baard_3stage,6.4,100.0
26,apgd,1.5,lid,0.1,95.8
27,apgd,1.5,rc,0.4,0.0
28,apgd,1.5,fs,5.2,0.0
29,apgd,1.5,magnet,0.4,100.0
30,apgd2,1.5,baard_2stage,4.2,17.5
31,apgd2,1.5,baard_3stage,6.4,22.8
32,apgd2,1.5,lid,0.0,9.8
33,apgd2,1.5,rc,0.3,9.8
34,apgd2,1.5,fs,5.2,14.7
35,apgd2,1.5,magnet,0.4,43.2
36,apgd2,2.0,baard_2stage,4.2,15.4
37,apgd2,2.0,baard_3stage,6.4,20.4
38,apgd2,2.0,lid,0.0,6.6000000000000005
39,apgd2,2.0,rc,0.4,6.6000000000000005
40,apgd2,2.0,fs,5.2,8.4
41,apgd2,2.0,magnet,0.4,59.699999999999996
42,apgd2,3.0,baard_2stage,4.2,16.0
43,apgd2,3.0,baard_3stage,6.4,21.2
44,apgd2,3.0,lid,2.4,25.6
45,apgd2,3.0,rc,0.3,3.1
46,apgd2,3.0,fs,5.2,3.1
47,apgd2,3.0,magnet,0.4,83.0
48,apgd2,5.0,baard_2stage,4.2,26.0
49,apgd2,5.0,baard_3stage,6.4,31.2
50,apgd2,5.0,lid,0.8,48.199999999999996
51,apgd2,5.0,rc,0.4,0.6
52,apgd2,5.0,fs,5.2,0.6
53,apgd2,5.0,magnet,0.4,99.3
54,cw2,0.0,baard_2stage,4.2,7.3
55,cw2,0.0,baard_3stage,6.4,13.700000000000001
56,cw2,0.0,lid,7.5,68.7
57,cw2,0.0,rc,0.4,94.1
58,cw2,0.0,fs,5.2,4.7
59,cw2,0.0,magnet,0.4,85.5
60,cw2,5.0,baard_2stage,4.2,7.1
61,cw2,5.0,baard_3stage,6.4,13.4
62,cw2,5.0,lid,10.299999999999999,44.800000000000004
63,cw2,5.0,rc,0.4,0.5
64,cw2,5.0,fs,5.2,85.39999999999999
65,cw2,5.0,magnet,0.4,44.2
66,cw2,10.0,baard_2stage,4.2,7.199999999999999
67,cw2,10.0,baard_3stage,6.4,13.5
68,cw2,10.0,lid,0.0,0.0
69,cw2,10.0,rc,0.4,0.0
70,cw2,10.0,fs,5.2,75.7
71,cw2,10.0,magnet,0.4,17.299999999999997
72,deepfool,1e-06,baard_2stage,4.2,70.89999999999999
73,deepfool,1e-06,baard_3stage,6.4,72.3
74,deepfool,1e-06,lid,0.1,4.1000000000000005
75,deepfool,1e-06,rc,0.4,6.3
76,deepfool,1e-06,fs,5.2,47.0
77,deepfool,1e-06,magnet,0.4,64.8
78,fgsm,0.031,baard_2stage,4.2,17.7
79,fgsm,0.031,baard_3stage,6.4,23.0
80,fgsm,0.031,lid,1.2,15.7
81,fgsm,0.031,rc,0.4,8.6
82,fgsm,0.031,fs,5.2,39.300000000000004
83,fgsm,0.031,magnet,0.4,13.8
84,fgsm,0.3,baard_2stage,4.2,99.6
85,fgsm,0.3,baard_3stage,6.4,99.6
86,fgsm,0.3,lid,0.0,7.5
87,fgsm,0.3,rc,0.4,7.6
88,fgsm,0.3,fs,5.2,48.6
89,fgsm,0.3,magnet,0.4,100.0
90,fgsm,0.6,baard_2stage,4.2,100.0
91,fgsm,0.6,baard_3stage,6.4,100.0
92,fgsm,0.6,lid,0.0,8.4
93,fgsm,0.6,rc,0.4,8.4
94,fgsm,0.6,fs,5.2,56.49999999999999
95,fgsm,0.6,magnet,0.4,100.0
96,fgsm,1.0,baard_2stage,4.2,100.0
97,fgsm,1.0,baard_3stage,6.4,100.0
98,fgsm,1.0,lid,0.0,7.000000000000001
99,fgsm,1.0,rc,0.4,6.9
100,fgsm,1.0,fs,5.2,56.10000000000001
101,fgsm,1.0,magnet,0.4,100.0
102,fgsm,1.5,baard_2stage,4.2,100.0
103,fgsm,1.5,baard_3stage,6.4,100.0
104,fgsm,1.5,lid,0.0,7.000000000000001
105,fgsm,1.5,rc,0.4,6.9
106,fgsm,1.5,fs,5.2,56.10000000000001
107,fgsm,1.5,magnet,0.4,100.0
108,line,0.0,baard_2stage,4.2,80.10000000000001
109,line,0.0,baard_3stage,6.4,81.5
110,line,0.0,lid,0.0,73.5
111,line,0.0,rc,0.4,74.1
112,line,0.0,fs,5.2,96.89999999999999
113,line,0.0,magnet,0.4,81.39999999999999
114,line,0.5,baard_2stage,4.2,94.8
