,Attack,Adv_param,Defence,FPR,Acc_on_adv
0,apgd,0.05,baard_2stage,11.827956989247312,90.32258064516128
1,apgd,0.05,baard_3stage,13.978494623655912,91.39784946236558
2,apgd,0.05,lid,0.0,82.79569892473118
3,apgd,0.05,rc,1.0752688172043012,82.79569892473118
4,apgd,0.2,baard_2stage,11.827956989247312,89.24731182795699
5,apgd,0.2,baard_3stage,12.903225806451612,91.39784946236558
6,apgd,0.2,lid,3.225806451612903,23.655913978494624
7,apgd,0.2,rc,1.0752688172043012,5.376344086021505
8,apgd,0.4,baard_2stage,11.827956989247312,100.0
9,apgd,0.4,baard_3stage,11.827956989247312,100.0
10,apgd,0.4,lid,1.0752688172043012,47.31182795698925
11,apgd,0.4,rc,1.0752688172043012,0.0
12,apgd,1.0,baard_2stage,10.75268817204301,100.0
13,apgd,1.0,baard_3stage,13.978494623655912,100.0
14,apgd,1.0,lid,0.0,33.33333333333333
15,apgd,1.0,rc,0.0,0.0
16,apgd2,0.2,baard_2stage,10.75268817204301,90.32258064516128
17,apgd2,0.2,baard_3stage,12.903225806451612,93.54838709677419
18,apgd2,0.2,lid,0.0,84.94623655913979
19,apgd2,0.2,rc,1.0752688172043012,84.94623655913979
20,apgd2,0.4,baard_2stage,11.827956989247312,75.26881720430107
21,apgd2,0.4,baard_3stage,12.903225806451612,80.64516129032258
22,apgd2,0.4,lid,3.225806451612903,61.29032258064516
23,apgd2,0.4,rc,2.1505376344086025,60.215053763440864
24,apgd2,1.0,baard_2stage,11.827956989247312,54.83870967741935
25,apgd2,1.0,baard_3stage,12.903225806451612,63.44086021505376
26,apgd2,1.0,lid,3.225806451612903,12.903225806451612
27,apgd2,1.0,rc,1.0752688172043012,4.301075268817205
28,apgd2,2.0,baard_2stage,10.75268817204301,92.47311827956989
29,apgd2,2.0,baard_3stage,12.903225806451612,91.39784946236558
30,apgd2,2.0,lid,1.0752688172043012,66.66666666666666
31,apgd2,2.0,rc,1.0752688172043012,0.0
32,apgd2,3.0,baard_2stage,10.75268817204301,100.0
33,apgd2,3.0,baard_3stage,11.827956989247312,100.0
34,apgd2,3.0,lid,0.0,62.365591397849464
35,apgd2,3.0,rc,1.0752688172043012,0.0
36,boundary,0.3,baard_2stage,10.75268817204301,88.17204301075269
37,boundary,0.3,baard_3stage,12.903225806451612,97.84946236559139
38,boundary,0.3,lid,3.225806451612903,59.13978494623656
39,boundary,0.3,rc,1.0752688172043012,68.81720430107528
40,cw2,0.0,baard_2stage,9.67741935483871,70.96774193548387
41,cw2,0.0,baard_3stage,13.978494623655912,96.7741935483871
42,cw2,0.0,lid,3.225806451612903,22.58064516129032
43,cw2,0.0,rc,1.0752688172043012,74.19354838709677
44,cw2,5.0,baard_2stage,9.67741935483871,56.98924731182796
45,cw2,5.0,baard_3stage,12.903225806451612,48.38709677419355
46,cw2,5.0,lid,1.0752688172043012,10.75268817204301
47,cw2,5.0,rc,1.0752688172043012,7.526881720430108
48,cw2,10.0,baard_2stage,12.903225806451612,81.72043010752688
49,cw2,10.0,baard_3stage,13.978494623655912,82.79569892473118
50,cw2,10.0,lid,0.0,66.66666666666666
51,cw2,10.0,rc,1.0752688172043012,7.526881720430108
52,deepfool,1e-06,baard_2stage,11.827956989247312,86.02150537634408
53,deepfool,1e-06,baard_3stage,13.978494623655912,89.24731182795699
54,deepfool,1e-06,lid,0.0,68.81720430107528
55,deepfool,1e-06,rc,1.0752688172043012,3.225806451612903
56,fgsm,0.05,baard_2stage,10.75268817204301,93.54838709677419
57,fgsm,0.05,baard_3stage,12.903225806451612,90.32258064516128
58,fgsm,0.05,lid,0.0,82.79569892473118
59,fgsm,0.05,rc,1.0752688172043012,82.79569892473118
60,fgsm,0.2,baard_2stage,10.75268817204301,96.7741935483871
61,fgsm,0.2,baard_3stage,12.903225806451612,93.54838709677419
62,fgsm,0.2,lid,1.0752688172043012,22.58064516129032
63,fgsm,0.2,rc,1.0752688172043012,7.526881720430108
64,fgsm,0.4,baard_2stage,11.827956989247312,100.0
65,fgsm,0.4,baard_3stage,15.053763440860216,100.0
66,fgsm,0.4,lid,2.1505376344086025,51.61290322580645
67,fgsm,0.4,rc,1.0752688172043012,0.0
68,fgsm,1.0,baard_2stage,11.827956989247312,100.0
69,fgsm,1.0,baard_3stage,15.053763440860216,100.0
70,fgsm,1.0,lid,0.0,87.09677419354838
71,fgsm,1.0,rc,1.0752688172043012,0.0
