,Attack,Epsilon,Defence,Accuracy after attack,Score,Block Rate,False Positive Rate
0,apgd,0.05,baard_2stage,94.19999999999999,100.0,83.39999999999999,6.9
1,apgd,0.05,baard_3stage,94.19999999999999,100.0,83.39999999999999,8.1
2,apgd,0.05,fs,94.19999999999999,94.69999999999999,10.0,9.4
3,apgd,0.05,lid,94.19999999999999,96.7,10.299999999999999,6.0
4,apgd,0.05,rc,94.19999999999999,97.1,-100.0,0.0
5,apgd,0.2,baard_2stage,5.2,100.0,100.0,6.9
6,apgd,0.2,baard_3stage,5.2,100.0,100.0,8.1
7,apgd,0.2,fs,5.2,53.7,50.7,50.5
8,apgd,0.2,lid,5.2,56.10000000000001,53.6,5.7
9,apgd,0.2,rc,5.2,93.2,-100.0,0.0
10,apgd,0.4,baard_2stage,0.1,100.0,100.0,4.3999999999999995
11,apgd,0.4,baard_3stage,0.1,100.0,100.0,5.1
12,apgd,0.4,fs,0.1,49.2,49.1,48.1
13,apgd,0.4,lid,0.1,23.400000000000002,23.3,5.5
14,apgd,0.4,rc,0.1,93.8,-100.0,0.1
15,apgd,1.0,baard_2stage,0.0,100.0,100.0,4.3999999999999995
16,apgd,1.0,baard_3stage,0.0,100.0,100.0,5.1
17,apgd,1.0,fs,0.0,6.3,6.3,0.0
18,apgd,1.0,lid,0.0,98.1,98.1,1.7000000000000002
19,apgd,1.0,rc,0.0,93.7,-100.0,0.0
20,apgd1,0.2,baard_2stage,97.1,98.1,38.4,4.3999999999999995
21,apgd1,0.2,baard_3stage,97.1,99.8,40.2,5.1
22,apgd1,0.2,fs,97.1,98.7,42.3,41.099999999999994
23,apgd1,0.2,lid,97.1,98.5,6.4,4.3999999999999995
24,apgd1,0.2,rc,97.1,98.7,-100.0,0.2
25,apgd1,0.4,baard_2stage,82.3,95.7,90.3,4.3999999999999995
26,apgd1,0.4,baard_3stage,82.3,97.6,92.2,5.1
27,apgd1,0.4,fs,82.3,90.5,50.4,49.2
28,apgd1,0.4,lid,82.3,91.2,31.4,5.2
29,apgd1,0.4,rc,82.3,96.8,-100.0,0.1
30,apgd1,1.0,baard_2stage,3.0,100.0,100.0,4.3999999999999995
31,apgd1,1.0,baard_3stage,3.0,100.0,100.0,5.1
32,apgd1,1.0,fs,3.0,66.7,65.60000000000001,64.7
33,apgd1,1.0,lid,3.0,48.6,46.800000000000004,4.2
34,apgd1,1.0,rc,3.0,95.89999999999999,-100.0,0.1
35,apgd1,2.0,baard_2stage,0.0,100.0,100.0,4.3999999999999995
36,apgd1,2.0,baard_3stage,0.0,100.0,100.0,5.1
37,apgd1,2.0,lid,0.0,38.5,38.5,6.6000000000000005
38,apgd1,2.0,rc,0.0,93.7,-100.0,0.2
39,apgd1,3.0,baard_2stage,0.0,100.0,100.0,4.3999999999999995
40,apgd1,3.0,baard_3stage,0.0,100.0,100.0,5.1
41,apgd1,3.0,lid,0.0,80.2,80.2,3.0
42,apgd1,3.0,rc,0.0,93.7,-100.0,0.0
43,apgd2,0.2,baard_2stage,79.0,98.5,95.39999999999999,4.3999999999999995
44,apgd2,0.2,baard_3stage,79.0,99.2,96.1,5.1
45,apgd2,0.2,fs,79.0,87.2,39.900000000000006,37.7
46,apgd2,0.2,lid,79.0,90.4,37.9,5.7
47,apgd2,0.2,rc,79.0,96.3,-100.0,0.1
48,apgd2,0.4,baard_2stage,6.4,99.7,99.7,4.3999999999999995
49,apgd2,0.4,baard_3stage,6.4,99.7,99.7,5.1
50,apgd2,0.4,fs,6.4,55.800000000000004,52.900000000000006,50.3
51,apgd2,0.4,lid,6.4,53.300000000000004,48.199999999999996,4.3999999999999995
52,apgd2,0.4,rc,6.4,95.5,-100.0,0.1
53,apgd2,1.0,baard_2stage,0.0,100.0,100.0,4.3999999999999995
54,apgd2,1.0,baard_3stage,0.0,100.0,100.0,5.1
55,apgd2,1.0,fs,0.0,1.5,1.5,0.0
56,apgd2,1.0,lid,0.0,45.0,45.0,8.0
57,apgd2,1.0,rc,0.0,93.7,-100.0,0.1
58,apgd2,2.0,baard_2stage,0.0,100.0,100.0,4.3999999999999995
59,apgd2,2.0,baard_3stage,0.0,100.0,100.0,5.1
60,apgd2,2.0,lid,0.0,95.89999999999999,95.89999999999999,1.7000000000000002
61,apgd2,2.0,rc,0.0,93.7,-100.0,0.1
62,apgd2,3.0,baard_2stage,0.0,100.0,100.0,4.3999999999999995
63,apgd2,3.0,baard_3stage,0.0,100.0,100.0,5.1
64,apgd2,3.0,lid,0.0,93.8,93.8,1.7000000000000002
65,apgd2,3.0,rc,0.0,93.7,-100.0,0.1
66,boundary,0.3,baard_2stage,77.5,99.5,98.7,4.3999999999999995
67,boundary,0.3,baard_3stage,77.5,100.0,99.8,5.1
68,boundary,0.3,fs,77.5,83.2,31.6,48.9
69,boundary,0.3,lid,77.5,89.0,52.7,5.1
70,boundary,0.3,rc,77.5,81.3,-100.0,0.1
71,cw2,0.0,baard_2stage,91.0,99.8,97.2,6.9
72,cw2,0.0,baard_3stage,91.0,100.0,99.9,8.1
73,cw2,0.0,fs,91.0,94.3,32.6,34.300000000000004
74,cw2,0.0,lid,91.0,98.2,67.7,4.9
75,cw2,0.0,rc,91.0,95.7,-100.0,0.1
76,cw2,10.0,baard_2stage,0.2,100.0,100.0,6.9
77,cw2,10.0,baard_3stage,0.2,100.0,100.0,8.1
78,cw2,10.0,fs,0.2,54.6,54.400000000000006,47.4
79,cw2,10.0,lid,0.2,36.7,36.5,2.5
80,cw2,10.0,rc,0.2,91.5,-100.0,0.0
81,cw2,5.0,baard_2stage,0.0,98.2,98.2,4.3999999999999995
82,cw2,5.0,baard_3stage,0.0,98.2,98.2,5.1
83,cw2,5.0,fs,0.0,38.9,38.9,37.6
84,cw2,5.0,lid,0.0,50.0,50.0,4.2
85,cw2,5.0,rc,0.0,93.7,-100.0,0.2
86,cwinf,0.0,baard_2stage,0.8,72.7,71.89999999999999,4.3999999999999995
87,cwinf,0.0,baard_3stage,0.8,91.60000000000001,90.8,5.1
88,cwinf,0.0,fs,0.8,63.5,63.0,60.099999999999994
89,cwinf,0.0,lid,0.8,56.8,56.10000000000001,3.5999999999999996
90,cwinf,0.0,rc,0.8,93.10000000000001,-100.0,0.2
91,cwinf,5.0,baard_2stage,6.9,93.60000000000001,87.4,4.3999999999999995
92,cwinf,5.0,baard_3stage,6.9,93.60000000000001,87.4,5.1
93,cwinf,5.0,fs,6.9,64.2,61.6,60.4
94,cwinf,5.0,lid,6.9,44.2,39.4,5.1
95,cwinf,5.0,rc,6.9,95.1,-100.0,0.1
96,deepfool,1e-06,baard_2stage,0.3,99.9,99.8,6.9
97,deepfool,1e-06,baard_3stage,0.3,100.0,100.0,8.1
98,deepfool,1e-06,fs,0.3,6.9,6.6000000000000005,0.0
99,deepfool,1e-06,lid,0.3,80.4,80.10000000000001,2.6
100,deepfool,1e-06,rc,0.3,91.60000000000001,-100.0,0.1
101,fgsm,0.05,baard_2stage,94.1,100.0,94.8,6.9
102,fgsm,0.05,baard_3stage,94.1,100.0,95.39999999999999,8.1
103,fgsm,0.05,fs,94.1,96.3,47.199999999999996,49.5
104,fgsm,0.05,lid,94.1,97.89999999999999,12.7,5.5
105,fgsm,0.05,rc,94.1,97.0,-100.0,0.1
106,fgsm,0.2,baard_2stage,6.2,100.0,100.0,6.9
107,fgsm,0.2,baard_3stage,6.2,100.0,100.0,8.1
108,fgsm,0.2,fs,6.2,50.3,47.199999999999996,49.5
109,fgsm,0.2,lid,6.2,44.2,40.6,5.1
110,fgsm,0.2,rc,6.2,93.89999999999999,-100.0,0.2
111,fgsm,0.4,baard_2stage,0.1,100.0,100.0,4.3999999999999995
112,fgsm,0.4,baard_3stage,0.1,100.0,100.0,5.1
113,fgsm,0.4,fs,0.1,49.3,49.2,48.1
114,fgsm,0.4,lid,0.1,14.7,14.7,4.2
115,fgsm,0.4,rc,0.1,93.8,-100.0,0.1
116,fgsm,1.0,baard_2stage,0.0,100.0,100.0,4.3999999999999995
117,fgsm,1.0,baard_3stage,0.0,100.0,100.0,5.1
118,fgsm,1.0,fs,0.0,6.3,6.3,0.0
